ATC4;description_fr;description_nl
Z01ZZ;Inconnu;Onbekend
G03XC;Modulateurs sélectifs des récepteurs oestrogeniques;Selectieve modulatoren van de oestrogeenreceptoren
G04BD;Spasmolytiques urinaires;Urologische spasmolytica
G04BE;Medicaments contre les troubles de l'érection;Farmaca bij erectiestoornissen
G04BX;Autres préparations urologiques;Overige urologica
G04CA;Alphabloquants;Alfa-receptorblokkerende stoffen
H01AA;Corticotrophine (ACTH);Corticotrofine (ACTH)
H01AC;Somatropine et agonistes de la somatropine;Somatropine en somatropineagonisten
H01AX;Hormones de l'hypophyse antérieure et analogues, autres préparations;Hypofysevoorkwab hormonen en analogen, overige middelen
H01BA;Vasopressine et analogues;Vasopressine en verwante verbindingen
H01BB;Oxytocine et dérivés;Oxytocine en derivaten
H01CA;Hormones provoquant la sécrétion de gonadotrophine;Hormonen die gonadotrofine-afgifte bevorderen
H01CB;Antagoniste de l'hormone de croissance;Antigroeihormoon
H02AB;Glucocorticoïdes;Glucocorticoïden
H03AA;Hormones thyroïdiennes;Schildklierhormonen
H03BA;Dérivés du thiouracile;Thiouracilderivaten
H03BB;Dérivés imidazoles soufres;Zwavelbevattende imidazolederivaten
H04AA;Hormones glycogenolytiques;Glycogenolytische hormonen
H05AA;Hormones parathyroides;Bijschildklierhormonen
H05BA;Calcitonine;Calcitonine
H05BX;Autres substances antiparathyroïdiennes;Overige antiparathyroide stoffen
J01AA;Tétracyclines;Tetracyclines
J01BA;Amphénicoles;Amfenicolen
J01CA;Pénicillines à large spectre;Penicillines met breed spectrum
J01CE;Pénicillines sensibles aux bêtalactamases;Betalactamase-gevoelige penicillines
J01CF;Pénicillines résistantes aux bêtalactamases;Betalactamase-resistente penicillines
J01CR;Associations de pénicillines, inhib. de la bêtalactamase inclus;Combinatiepreparaten van penicillines, incl. betalactamase-remmers
J01DA;Céphalosporines et substances apparentées;Cephalosporins en verwante stoffen
J01DB;Céphalosporines de la première génération;Cefalosporines van de eerste generatie
J01DC;Céphalosporines de la deuxième génération;Cefalosporines van de tweede generatie
J01DD;Céphalosporines de la troisième génération;Cefalosporines van de derde generatie
J01DE;Céphalosporines de la quatrième génération;Cefalosporines van de vierde generatie
J01DF;Monobactâmes;Monobactam-antibiotica
J01DH;Carbapenèmes;Carbapenem-antibiotica
J01DI;Autres céphalosporines;Overige cefalosporines
J01EA;Trimethoprim et dérivés;Trimethoprim en afgeleiden
J01EB;Sulfamides a action courte;Kortwerkende sulfonamiden
J01ED;Sulfamides à action longue;Langwerkende sulfonamiden
